Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
plains cottonwood,PODEM,Populus deltoides ssp. monilifera,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Coarse,White,Yes,No,Erect,Mid Spring,Routinely Available
Fremont cottonwood,POFR2,Populus fremontii,SALICA,Willow family,Spring and Summer,Yes,White,No,Green,Medium,White,No,No,Irregular,Early Spring,Routinely Available
bigtooth aspen,POGR4,Populus grandidentata,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
swamp cottonwood,POHE4,Populus heterophylla,SALICA,Willow family,Spring and Summer,No,White,No,Green,Coarse,White,No,No,Erect,Mid Spring,No Known Source
Lombardy poplar,PONI,Populus nigra,SALICA,Willow family,Spring and Summer,No,White,No,Green,Medium,White,No,No,Columnar,Early Spring,Routinely Available
quaking aspen,POTR5,Populus tremuloides,SALICA,Willow family,Spring and Summer,No,Blue,No,Green,Medium,White,No,No,Rounded,Mid Spring,Routinely Available
Kamalo pritchardia,PRMU3,Pritchardia munroi,ARECAC,Palm family,MI,No,Green,No,Green,Coarse,Black,No,No,Erect,MI,MI
honey mesquite,PRGLG,Prosopis glandulosa var. glandulosa,FABACE,Pea family,Spring and Summer,No,Yellow,Yes,Green,Fine,White,Yes,No,Rounded,Early Spring,Field Collections Only
screwbean mesquite,PRPU,Prosopis pubescens,FABACE,Pea family,Spring; Summer; Fall,No,MI,Yes,Green,Fine,Brown,Yes,No,Erect,Early Spring,Routinely Available
American plum,PRAM,Prunus americana,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Red,Yes,No,Erect,Mid Spring,Routinely Available
Chickasaw plum,PRAN3,Prunus angustifolia,ROSACE,Rose family,Spring and Summer,No,White,No,Green,Medium,Red,Yes,No,Semi-Erect,Early Spring,Routinely Available
bitter cherry,PREM,Prunus emarginata,ROSACE,Rose family,Spring,No,White,Yes,Green,Fine,Red,Yes,No,Rounded,Mid Spring,No Known Source
Canadian plum,PRNI,Prunus nigra,ROSACE,Rose family,Spring,No,Red,No,Green,Coarse,Orange,No,No,Erect,Mid Spring,MI
European bird cherry,PRPA5,Prunus padus,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Black,Yes,No,Erect,Spring,No Known Source
black cherry,PRSE2,Prunus serotina,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Black,Yes,No,Erect,Late Spring,Routinely Available
Klamath plum,PRSU2,Prunus subcordata,ROSACE,Rose family,Spring and Summer,Yes,White,No,Green,Medium,Purple,Yes,No,Erect,Early Spring,No Known Source
Nanking cherry,PRTO80,Prunus tomentosa,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Irregular,Late Spring,Routinely Available
chokecherry,PRVI,Prunus virginiana,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Black,Yes,No,Erect,Mid Spring,Routinely Available
western chokecherry,PRVID,Prunus virginiana var. demissa,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Red,No,No,Erect,Spring,Routinely Available
bigcone Douglas-fir,PSMA,Pseudotsuga macrocarpa,PINACE,Pine family,Spring,No,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
Douglas-fir,PSME,Pseudotsuga menziesii,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
Rocky Mountain Douglas-fir,PSMEG,Pseudotsuga menziesii var. glauca,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Conical,Mid Spring,Contracting Only
guava,PSGU,Psidium guajava,MYRTAC,Myrtle family,Year Round,No,White,No,Green,Medium,Yellow,Yes,Yes,Erect,Spring,Routinely Available
common hoptree,PTTR,Ptelea trifoliata,RUTACE,Rue family,Spring and Summer,Yes,Yellow,No,Green,Medium,Red,No,Yes,Erect,Early Summer,No Known Source
pomegranate,PUGR2,Punica granatum,PUNICA,Pomegranate family,Spring and Summer,Yes,Orange,Yes,Green,Medium,Red,Yes,No,Vase,Spring,Routinely Available
Stansbury cliffrose,PUST,Purshia stansburiana,ROSACE,Rose family,Summer,No,White,Yes,Green,Fine,Brown,Yes,Yes,Erect,Mid Spring,No Known Source
common pear,PYCO,Pyrus communis,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Yellow,Yes,No,Erect,Early Spring,Routinely Available
California live oak,QUAG,Quercus agrifolia,FAGACE,Beech family,Spring; Summer; Fall,No,Yellow,No,Green,Medium,Brown,Yes,Yes,Irregular,Early Spring,Routinely Available
white oak,QUAL,Quercus alba,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
swamp white oak,QUBI,Quercus bicolor,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
canyon live oak,QUCH2,Quercus chrysolepis,FAGACE,Beech family,Spring; Summer; Fall,Yes,Yellow,No,Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Routinely Available
scarlet oak,QUCO2,Quercus coccinea,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,No Known Source
blue oak,QUDO,Quercus douglasii,FAGACE,Beech family,Spring,Yes,Yellow,No,Gray-Green,Coarse,Brown,Yes,No,Erect,Spring,Contracting Only
coastal sage scrub oak,QUDU,Quercus dumosa,FAGACE,Beech family,Spring,Yes,Yellow,No,Green,Coarse,Brown,No,Yes,Semi-Erect,Early Spring,Contracting Only
southern red oak,QUFA,Quercus falcata,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
Gambel oak,QUGA,Quercus gambelii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Irregular,Mid Spring,Contracting Only
Oregon white oak,QUGA4,Quercus garryana,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Contracting Only
shingle oak,QUIM,Quercus imbricaria,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Dark Green,Medium,Brown,No,No,Erect,Late Spring,No Known Source
California black oak,QUKE,Quercus kelloggii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Late Spring,Contracting Only
turkey oak,QULA2,Quercus laevis,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Late Spring,No Known Source
